z0_1, z0_2, z0_3, z0_4, Zopt_1, Zopt_2, Zopt_3, Zopt_4, Zopt_5, Zopt_6, n,sigma_1, sigma_2, sigma_3
2.3925287076309516,0.5337635061208151,2.8739282112149565,0.9697932452389889,3.141586447576795,3.1415430517464222,1.1200499251162508,0.7853981632141722,8.068874732239365,-0.5000003453287232,2066.0,3,2,1
2.048672635333697,1.2097949718268437,2.8436343508356385,0.883356016401887,1.40351322447462,0.31330113258359815,1.6827448790315458,0.5004596925436198,10.204036327250186,-0.49999999999999994,2613.0,2,1,3
2.4679387582916497,0.11983834214348522,1.4258832016907774,0.23468605518115648,2.7533497133349067,0.6097901763255328,1.6599031481082132,0.22952641505682356,14.384632681978522,-0.4999999994120784,3683.0,1,3,2
2.895591658148395,1.6838054562543405,1.3634455706797723,1.896038771889354,3.141585716327033,2.244348910094228,1.6826772547397084,3.08750007411013,7.5431528572232684,-0.5,1932.0,1,2,3
2.853481569212236,0.28484126375086605,0.8282414339734303,2.476738156585075,1.7994613270398507,1.00050083248544,1.7433057847157152,1.197983473911462,16.333468453358428,-0.49999999705892506,4182.0,1,2,3
2.471752094925264,1.1418579128006388,1.2845453351925582,1.3193857087059295,2.3736603595859203,1.1354021689990026,1.458980625262077,1.9112455544845917,18.46978655328524,-0.49999999909787857,4729.0,1,3,2
1.3760064365599098,2.28959559983094,2.5930347632432356,0.5304312462156611,0.9477136249503585,2.2229081798472814,1.6194481276575727,0.23795474655747081,14.868440769346853,-0.49999963049323587,3807.0,3,2,1
2.7726447929208424,2.072054551714761,2.5081091577950074,2.4697140426745268,3.141591904889887,3.141592491538625,0.4852210855152969,2.644939514388761,5.4260903846885995,-0.5000000248532223,1390.0,3,1,2
1.2869450848852257,0.35918803558440804,1.7995794240190166,1.112648314427129,1.7830727330937577,5.695047085930954e-7,2.1059761832257475,0.9851813553336184,8.294028182020806,-0.5080023062739168,2149.0,1,2,3
1.7904228630625147,0.2391319225363958,2.987979702194267,0.6031601930223055,2.1827439197727423,2.234853484035839,0.3521677850815641,0.6984856963760956,14.621965183814666,-0.49999999784989035,3744.0,2,1,3
2.6308031578453743,1.420232812793251,1.429163753673222,1.066146434315407,2.2571694445150583,1.4159773917980314,2.1626340799502803,1.1795592179572578,16.462674845797128,-0.49999998637788157,4215.0,1,2,3
1.1228202338563682,3.0548015726513134,0.7636208242084058,1.4725296737265403,1.5783292333791898,2.134219399872377,0.4721370830466028,2.1902799357270477,10.200038332617062,-0.5,2612.0,2,1,3
2.5071614798231905,2.600339041191575,1.4743039749782398,1.9764758966057012,3.141591880378895,3.141591722543567,1.5694921893717904,1.8990009421157223,5.971818902069153,-0.499999990911471,1529.0,3,2,1
2.4062366588088415,2.5262201278699457,2.2049642868649637,0.4646938571953009,3.141590123340786,3.1415870933526904,1.0799055435902383,0.8534037469648209,16.111053044756456,-0.4999999997877884,4125.0,3,2,1
2.010962565466982,2.529259322710767,2.97557474886717,2.348971926725864,2.327272484942429,3.1397189212931855,1.3434129739636649,2.650533764807641,14.808201926364468,-0.49091997000051335,3777.0,3,2,1
2.2664653815064657,0.8993305359653305,2.260751636163318,0.9040606655356186,2.2325462187985665,0.874683274053165,2.1605079992197007,0.7724515852453592,14.737841799137541,-0.500000000388889,3773.0,2,1,3
2.083729801800135,1.8767768650181418,1.6592949597479345,1.6628631552711788,1.8479417917185412,1.8058476106859391,1.5117244266436118,1.6383148498978004,17.85693112306053,-0.5,4572.0,3,2,1
2.6689118361295443,2.1422960524265355,2.408516564910426,1.2380548434034668,3.139877546398322,2.3987042123372655,1.977242401310364,1.5328393661411244,7.455791540264833,-0.5000000652406142,1909.0,1,2,3
1.840877599786087,2.7058354812605345,1.9722314557389622,0.9366428575187549,2.0476472630610574,3.141572067785759,2.7119128218842286,0.7853981630755643,16.026939038511735,-0.49993480857366,4100.0,3,2,1
1.1984235275904698,2.9661321096243083,1.8498734151748963,2.8688869341730494,1.2916688335470983,2.730305931507218,2.191994186808959,2.7962624535189824,13.66605131889759,-0.49999998655735933,3499.0,3,2,1
0.9852068715824972,1.9457728026852652,2.8245950993254905,1.8056569989877116,1.1332643469648036,1.6366822606960065,2.077993848375068,2.2079237169806767,10.290929313090178,-0.5000000693409897,2635.0,2,3,1
0.7532002084599313,1.710643425803791,0.9141026781064119,0.9768949063231499,0.6551469105142871,1.7785624594245897,1.2340636628901,1.599833478774329,13.923849820786529,-0.49999995038772027,3565.0,2,1,3
1.9509435984531458,1.1140128632980164,1.9091216143395198,1.5965032667441033,1.6565991171337555,1.1423250657408672,1.549545787359648,1.8056962948183426,19.163114488836833,-0.49999999978058624,4906.0,3,1,2
2.194358271684725,1.6174857949043127,2.8466235687102195,1.3925530077125772,2.2459937153268035,1.7152387606815749,1.8642609878329401,1.4884748933353378,19.449397155419835,-0.49998458226299175,4979.0,1,2,3
1.5041451386673153,0.9539139859874385,2.951909979779188,2.6554599753278776,2.0130415825659402,1.049938502795008,2.165169956129385,2.654266792310878,14.931744818968841,-0.5000000053117967,3823.0,3,2,1
